Station_Id_C,Year,Mon,Day,Hour,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,VAP,RHU_Min,PRE_1h,VIS,WEP_Now,CLO_Cov,CLO_COV_LM,CLO_Height_LoM,CLO_Cov_Low,windpower,tigan
52602,2020,8,1,0,728.7,1001.8,728.7,728.4,3.1,4.7,322,320,2,311,11.8,11.8,10,39,5.4,38,0,30000,0,999999,999999,999999,999999,2,10.05
52602,2020,8,1,1,729.1,1001.9,729.1,728.7,2.4,3.4,99,129,1.8,326,15,15,11.8,30,5.1,30,0,30000,0,999999,999999,999999,999999,2,13.34
52602,2020,8,1,2,729.1,1001.7,729.1,729,2,4.3,149,150,2.5,117,18.3,18.3,15,25,5.3,25,0,30000,0,999999,999999,999999,999999,2,16.84
52602,2020,8,1,3,728.9,1000.4,729.1,728.9,5.7,8.5,151,166,4.8,151,21.1,21.2,18.4,24,6,24,0,28200,0,999999,999999,999999,999999,3,19.89
52602,2020,8,1,4,728.7,1000.1,728.9,728.7,5.6,9.2,145,140,5.1,147,22.7,22.7,21.2,21,5.8,21,0,30000,0,999999,999999,999999,999999,3,21.57
52602,2020,8,1,5,728.1,998.9,728.7,728.1,4.7,7.5,137,154,3,146,24.3,24.3,22.6,18,5.5,17,0,30000,0,999999,999999,999999,999999,2,23.26
52602,2020,8,1,6,727.5,998,728.1,727.4,4.3,9.4,169,198,5.1,138,25.7,25.8,24.2,15,5,15,0,28000,0,999999,999999,999999,999999,3,24.72
52602,2020,8,1,7,726.8,997.4,727.4,726.8,5.2,9.5,245,261,5.8,258,26.2,26.3,25.6,14,4.8,13,0,30000,0,999999,999999,999999,999999,3,25.24
52602,2020,8,1,8,726.3,997,726.8,726.3,5.7,8,252,267,3.2,255,26.7,26.8,26.2,14,4.9,14,0,30000,0,999999,999999,999999,999999,3,25.79
52602,2020,8,1,9,725.7,996.1,726.2,725.7,4.6,9.7,279,252,4.9,251,27.1,27.3,26.7,12,4.3,12,0,29300,0,999999,999999,999999,999999,3,26.18
52602,2020,8,1,10,725.4,996,725.8,725.4,5.7,9.6,301,320,2.1,290,26.9,27.5,26.8,12,4.3,10,0,30000,0,999999,999999,999999,999999,3,25.96
52602,2020,8,1,11,725.3,995.9,725.4,725.2,6,11.5,301,286,5.1,308,27.1,27.4,26.9,10,3.6,9,0,30000,0,999999,999999,999999,999999,3,26.13
52602,2020,8,1,12,725.4,996.1,725.4,725.3,5.5,9.5,294,307,4.8,308,25.3,27.1,25.3,9,2.9,8,0,30000,0,999999,999999,999999,999999,3,24.12
52602,2020,8,1,13,726.1,996.7,726.1,725.4,6.5,9.7,322,332,6.2,332,22.8,25.2,22.8,11,3.1,9,0,30000,0,999999,999999,999999,999999,4,21.42
52602,2020,8,1,14,726.8,996.6,726.8,726.1,5.9,7.5,16,17,5.4,336,21.6,22.7,21.6,14,3.6,11,0,30000,0,999999,999999,999999,999999,3,20.18
52602,2020,8,1,15,727.3,996.9,727.4,726.9,5.8,8.1,33,32,5.8,31,19.4,21.6,19.4,19,4.3,15,0,30000,0,999999,999999,999999,999999,4,17.89
52602,2020,8,1,16,727.4,996.7,727.4,727.2,6.7,9.1,29,42,4,29,18.5,19.4,18.5,19,4,18,0,30000,0,999999,999999,999999,999999,3,16.9
52602,2020,8,1,17,726.6,995,727.4,726.6,7.6,10.6,27,44,7,36,18.1,18.5,18,18,3.7,18,0,30000,0,999999,999999,999999,999999,4,16.44
52602,2020,8,1,18,726.5,994.6,726.8,726.4,7.6,9.4,45,48,5.3,38,17.2,18.1,17.2,20,3.9,18,0,30000,0,999999,999999,999999,999999,3,15.5
52602,2020,8,1,19,726.1,994,726.6,726.1,6.2,9.8,40,38,4,44,16.7,17.2,16.7,20,3.8,18,0,30000,0,999999,999999,999999,999999,3,14.95
52602,2020,8,1,20,726.1,994.1,726.2,726,5.4,7.3,35,30,5.4,33,16.1,16.7,16,21,3.8,20,0,30000,0,999999,999999,999999,999999,3,14.31
52602,2020,8,1,21,726,993.5,726.2,726,7.9,11.3,30,38,6.8,31,16.6,16.6,16.1,19,3.6,19,0,30000,0,999999,999999,999999,999999,4,14.81
52602,2020,8,1,22,726.2,993.9,726.2,725.9,6.7,9.7,38,169,2.4,38,16.5,16.6,16.3,17,3.2,16,0,30000,0,999999,999999,999999,999999,2,14.65
52602,2020,8,1,23,725.6,993,726.4,725.6,3.4,5.1,77,48,1,72,16.4,17,16.4,21,3.9,17,0,30000,0,999999,999999,999999,999999,1,14.64
52602,2020,8,2,0,726,994,726,725.6,6.4,10.4,50,55,6.3,49,17.5,17.5,16.2,19,3.8,19,0,30000,0,999999,999999,999999,999999,4,15.8
52602,2020,8,2,1,726.5,995.1,726.5,725.9,6.5,10,56,10,5.6,56,19.1,19.1,17.6,18,4,18,0,30000,0,999999,999999,999999,999999,3,17.54
52602,2020,8,2,2,726.8,996.1,727,726.5,8.4,11,25,14,6.7,26,19.1,19.4,18.9,20,4.4,18,0,30000,0,999999,999999,999999,999999,4,17.59
52602,2020,8,2,3,726.6,996,726.8,726.5,9.8,13,30,35,9,33,21,21.3,19.1,21,5.2,19,0,20800,0,999999,999999,999999,999999,5,19.7
52602,2020,8,2,4,726.3,995.6,726.6,726.3,9.4,12.8,28,36,6.9,32,22,22,20.9,22,5.8,21,0,30000,0,999999,999999,999999,999999,4,20.83
52602,2020,8,2,5,726.1,994.7,726.3,726,5.7,8.5,30,16,3.9,34,23.6,23.6,22,19,5.5,19,0,30000,0,999999,999999,999999,999999,3,22.51
52602,2020,8,2,6,725.5,994,726.1,725.5,4.8,7.8,29,5,3.2,33,24.2,24.3,23.6,18,5.4,18,0,30000,0,999999,999999,999999,999999,3,23.15
52602,2020,8,2,7,725,993.4,725.5,725,3.9,6.8,25,8,2.2,343,24.5,24.7,24.2,18,5.5,17,0,30000,0,999999,999999,999999,999999,2,23.48
52602,2020,8,2,8,724.6,992.8,725,724.5,3.3,5.9,335,265,0.5,351,25.3,25.6,24.5,17,5.5,16,0,30000,0,999999,999999,999999,999999,2,24.33
52602,2020,8,2,9,724,991.5,724.6,724,4,6.9,294,108,3,281,25.7,26.2,25.1,16,5.3,16,0,30000,0,999999,999999,999999,999999,2,24.74
52602,2020,8,2,10,723.6,990.9,724,723.6,4.8,8.3,316,320,3.7,321,25.9,26.4,25.7,15,5,14,0,30000,0,999999,999999,999999,999999,3,24.94
52602,2020,8,2,11,723.2,990.7,723.6,723.1,6.8,11.1,294,302,4.6,292,25.3,26,25.3,15,4.8,14,0,17700,0,999999,999999,999999,999999,3,24.28
52602,2020,8,2,12,723.4,991.1,723.4,723.1,7.3,10.9,287,291,7.2,292,23.9,25.5,23.9,14,4.2,13,0,30000,0,999999,999999,999999,999999,4,22.71
52602,2020,8,2,13,724,992.2,724,723.4,6.9,10,293,328,5.3,294,21.9,23.9,21.9,16,4.2,14,0,30000,0,999999,999999,999999,999999,4,20.56
52602,2020,8,2,14,724.7,994.5,724.7,724,7.8,11.7,91,76,5.4,87,19.2,21.9,19.2,16,3.6,16,0,21300,0,999999,999999,999999,999999,4,17.59
52602,2020,8,2,15,725.3,994.8,725.3,724.7,6.4,10.8,81,64,6.1,77,18.4,19.2,18.2,15,3.2,15,0,30000,0,999999,999999,999999,999999,4,16.69
52602,2020,8,2,16,725.2,995.1,725.3,725.1,6.1,7.8,66,344,2.8,62,16.6,18.4,16.6,20,3.8,15,0,30000,0,999999,999999,999999,999999,2,14.84
52602,2020,8,2,17,724.9,994.3,725.2,724.9,4,5.2,39,60,3.2,34,15.7,16.5,15.6,21,3.7,20,0,30000,0,999999,999999,999999,999999,3,13.87
52602,2020,8,2,18,724.9,994.9,725.1,724.9,3.4,4.7,56,343,1.3,55,14,15.7,14,23,3.7,21,0,30000,0,999999,999999,999999,999999,1,12.06
52602,2020,8,2,19,724.7,995.1,725,724.7,3,4,25,25,1.4,22,12.8,14,12.8,26,3.8,23,0,30000,0,999999,999999,999999,999999,2,10.81
52602,2020,8,2,20,724.6,994.8,724.7,724.6,2.5,3.5,27,322,1.4,28,12.3,12.7,12.1,26,3.7,26,0,30000,0,999999,999999,999999,999999,1,10.26
52602,2020,8,2,21,724.7,994.8,724.7,724.6,2.5,3.9,345,306,1.5,336,12,12.4,12,28,3.9,26,0,30000,0,999999,999999,999999,999999,2,9.99
52602,2020,8,2,22,724.7,994.7,724.7,724.5,3,4.4,9,349,1.2,21,12.1,12.9,11.7,27,3.8,26,0,30000,0,999999,999999,999999,999999,1,10.07
52602,2020,8,2,23,724.7,995.6,724.8,724.6,2.2,2.8,345,333,2.2,313,10.9,12.1,10.7,28,3.6,27,0,26700,0,999999,999999,999999,999999,2,8.78
52602,2020,8,3,0,724.8,995,724.8,724.7,3.6,5.2,24,17,3.3,23,13.7,13.7,10.8,23,3.6,23,0,30000,0,999999,999999,999999,999999,3,11.73
52602,2020,8,3,1,724.8,994,724.8,724.8,5.4,7.6,71,65,5,67,17.7,17.7,13.8,17,3.4,17,0,30000,0,999999,999999,999999,999999,3,15.97
52602,2020,8,3,2,724.9,994.4,725.1,724.7,6.5,8.8,71,60,3.2,67,19.9,19.9,17.8,16,3.7,15,0,30000,0,999999,999999,999999,999999,3,18.36
52602,2020,8,3,3,724.7,993.2,724.9,724.7,4.9,8.1,28,23,4.3,35,22.4,22.4,19.9,13,3.5,13,0,30000,0,999999,999999,999999,999999,3,21.04
52602,2020,8,3,4,724.5,993.3,724.7,724.4,6.7,10.9,101,26,3.8,80,23.5,23.6,22.4,14,4.1,13,0,30000,0,999999,999999,999999,999999,3,22.27
52602,2020,8,3,5,724,992.7,724.5,724,4.1,8.8,77,67,3.2,79,24.3,24.6,23.2,14,4.3,13,0,30000,0,999999,999999,999999,999999,3,23.15
52602,2020,8,3,6,723.5,992.2,724,723.4,4.4,7.4,59,79,3.2,70,25.5,26.4,24.4,13,4.2,12,0,30000,0,999999,999999,999999,999999,3,24.45
52602,2020,8,3,7,722.8,991.2,723.5,722.8,3.8,6.1,137,104,2.6,101,26.8,26.8,25.4,13,4.6,12,0,30000,0,999999,999999,999999,999999,2,25.88
52602,2020,8,3,8,722.3,990.7,722.8,722.2,4.6,11.1,325,288,4.2,337,27.1,27.5,26.6,12,4.3,12,0,30000,0,999999,999999,999999,999999,3,26.18
52602,2020,8,3,9,721.6,990.1,722.2,721.6,6.6,11.7,308,293,5.3,291,26.7,27.1,26.5,12,4.2,11,0,30000,0,999999,999999,999999,999999,4,25.74
52602,2020,8,3,10,721.4,989.5,721.6,721.4,6.3,11.7,270,271,6.3,295,27.1,27.3,26.5,11,3.9,11,0,30000,0,999999,999999,999999,999999,3,26.15
52602,2020,8,3,11,721.5,991.4,721.5,721.4,8.1,12.5,286,291,8.5,288,24.9,27,24.9,13,4.1,11,0,26900,0,999999,999999,999999,999999,4,23.79
52602,2020,8,3,12,721.8,991.4,721.8,721.4,10.2,13.9,295,293,8.8,292,22.9,24.9,22.9,17,4.7,13,0,30000,0,999999,999999,999999,999999,4,21.69
52602,2020,8,3,13,722.5,991.1,722.5,721.9,8.2,12,289,73,4.1,291,21.4,22.9,21.4,16,4.1,15,0,30000,0,999999,999999,999999,999999,3,20.01
52602,2020,8,3,14,723.3,992.1,723.3,722.6,4.2,6.2,72,68,3,70,19.4,21.4,19.4,17,3.8,16,0,30000,0,999999,999999,999999,999999,3,17.84
52602,2020,8,3,15,724,992.3,724,723.3,4.3,6.9,65,334,1.1,68,18.3,19.3,18.3,19,4,18,0,30000,0,999999,999999,999999,999999,1,16.68
52602,2020,8,3,16,724.1,992.1,724.1,724,3.9,5.7,27,53,3.3,26,17.9,18.3,17.8,20,4.1,19,0,30000,0,999999,999999,999999,999999,2,16.27
52602,2020,8,3,17,724,991.8,724.1,723.9,5.1,7.8,57,68,4.3,59,17.3,18,17.2,19,3.7,18,0,30000,0,999999,999999,999999,999999,3,15.58
52602,2020,8,3,18,724.2,992.4,724.2,724,4,6.4,58,269,1.1,67,15.6,17.3,15.6,22,3.9,19,0,30000,0,999999,999999,999999,999999,1,13.79
52602,2020,8,3,19,724.4,992.2,724.4,724.1,1.7,2.3,263,189,0.9,269,15.1,15.5,14.9,23,3.9,22,0,30000,0,999999,999999,999999,999999,1,13.27
52602,2020,8,3,20,724.3,992.3,724.4,724.3,3.5,5.4,282,250,3.9,246,14.5,15.2,14.3,24,4,23,0,30000,0,999999,999999,999999,999999,3,12.63
52602,2020,8,3,21,724.3,993.7,724.4,724.2,3.6,3.9,246,261,1.2,246,12.1,14.5,12.1,30,4.2,24,0,30000,0,999999,999999,999999,999999,1,10.15
